utterance_id,frame_received,speaker_id,text,start_frame,stop_frame,audio_file
1,214,Group,I just need to calibrate my cameras real quick,103,214,wtd_inputs\group1\chunks\chunk0001.wav
2,373,Group,Alright so,296,373,wtd_inputs\group1\chunks\chunk0002.wav
3,472,Group,The task that you are doing today is called the weights task,378,472,wtd_inputs\group1\chunks\chunk0003.wav
4,640,Group,In the first part you are going to work together to determine the weight of 5 cubes,486,640,wtd_inputs\group1\chunks\chunk0004.wav
5,728,Group,Um and then,665,728,wtd_inputs\group1\chunks\chunk0005.wav
6,831,Group,And we will tell you that this red cube on top is 10 grams,732,831,wtd_inputs\group1\chunks\chunk0006.wav
7,939,Group,So uh,862,939,wtd_inputs\group1\chunks\chunk0007.wav
8,1036,Group,You don't need to touch the slider on the scale don't worry about that part at all,943,1036,wtd_inputs\group1\chunks\chunk0008.wav
9,1109,Group,Oh,1050,1109,wtd_inputs\group1\chunks\chunk0009.wav
10,1434,Group,So you have to place sorry please place the scales place the cubes on this worksheet where you prove that they weigh again yes,1134,1434,wtd_inputs\group1\chunks\chunk0010.wav
11,1645,Group,And uh as you are filling it out if you guys can fill out the survey you will be group one,1448,1645,wtd_inputs\group1\chunks\chunk0011.wav
12,1748,Group,Um you can touch the scale just like there's a slider,1647,1748,wtd_inputs\group1\chunks\chunk0012.wav
13,1874,Group,But like you dont need to do anything with the slider,1776,1874,wtd_inputs\group1\chunks\chunk0013.wav
14,2529,Group,And you guys will be group one,2274,2529,wtd_inputs\group1\chunks\chunk0014.wav
15,9719,Group,Ok awesome um,9655,9719,wtd_inputs\group1\chunks\chunk0015.wav
16,10188,Group,You are now going to determine the weight of this block without the scale you will have two attempts to get the weight correctly,9723,10188,wtd_inputs\group1\chunks\chunk0016.wav
17,10255,Group,And you can now continue,10196,10255,wtd_inputs\group1\chunks\chunk0017.wav
18,19650,Group,For the final part of the task,19579,19650,wtd_inputs\group1\chunks\chunk0018.wav
19,19986,Group,Read the scenario that will come up for the next part of the survey and estimate the weight of the next block and you will again have two attempts to estimate and explain your answer,19655,19986,wtd_inputs\group1\chunks\chunk0019.wav
20,20070,Group,And you can now continue the survey,19987,20070,wtd_inputs\group1\chunks\chunk0020.wav
21,2205,Group,Use the scale to determine the weights,1877,2205,wtd_inputs\group1\chunks\chunk0021.wav
22,2671,Group,Just like put it on,2582,2671,wtd_inputs\group1\chunks\chunk0022.wav
23,2763,Group,Hold on lets just uh,2703,2763,wtd_inputs\group1\chunks\chunk0023.wav
24,3060,Group,Yeah ok so now we know that this is also 10,2926,3060,wtd_inputs\group1\chunks\chunk0024.wav
25,3176,Group,Um ok so now,3071,3176,wtd_inputs\group1\chunks\chunk0025.wav
26,3300,Group,What would we maybe put that one on there too,3186,3300,wtd_inputs\group1\chunks\chunk0026.wav
27,3427,Group,And then see if there's thats 20 which is not,3304,3427,wtd_inputs\group1\chunks\chunk0027.wav
28,3609,Group,Lets try this one oh gee louise this one,3446,3609,wtd_inputs\group1\chunks\chunk0028.wav
29,3750,Group,Ok lets just oops sorry,3636,3750,wtd_inputs\group1\chunks\chunk0029.wav
30,4189,Group,Ok so now lets start at 30 alright put one of those on there,3968,4189,wtd_inputs\group1\chunks\chunk0030.wav
31,4376,Group,Ooh its looking like 30,4221,4376,wtd_inputs\group1\chunks\chunk0031.wav
32,4782,Group,Ok so we got ok yeah this one is really heavy so lets do the a this and a 10,4465,4782,wtd_inputs\group1\chunks\chunk0032.wav
33,5634,Group,So we said this ones 30 I still feel like that's heavier and this one is 20,5176,5634,wtd_inputs\group1\chunks\chunk0033.wav
34,6191,Group,Assuming that this was,6104,6191,wtd_inputs\group1\chunks\chunk0034.wav
35,6326,Group,Yeah Im thinking that it's 10 10 20 30,6211,6326,wtd_inputs\group1\chunks\chunk0035.wav
36,6417,Group,So what have we done weve done 40,6338,6417,wtd_inputs\group1\chunks\chunk0036.wav
37,6493,Group,Um,6434,6493,wtd_inputs\group1\chunks\chunk0037.wav
38,6571,Group,And then we did 50,6498,6571,wtd_inputs\group1\chunks\chunk0038.wav
39,6644,Group,And then we did sixty,6579,6644,wtd_inputs\group1\chunks\chunk0039.wav
40,6945,Group,And now it stopped being too heavy,6841,6945,wtd_inputs\group1\chunks\chunk0040.wav
41,7005,Group,So this is supposedly,6946,7005,wtd_inputs\group1\chunks\chunk0041.wav
42,7194,Group,30 fourty 50 correct and it's still heavier than this thing,7028,7194,wtd_inputs\group1\chunks\chunk0042.wav
43,7284,Group,So have we done 40,7225,7284,wtd_inputs\group1\chunks\chunk0043.wav
44,7761,Group,So 30 this is also 40 right so this if 40 ,7556,7761,wtd_inputs\group1\chunks\chunk0044.wav
45,7914,Group,This is 50 it's not ,7800,7914,wtd_inputs\group1\chunks\chunk0045.wav
46,9138,Group,Yeah we got them,8859,9138,wtd_inputs\group1\chunks\chunk0046.wav
